color,depressed,dreamy,romantic,healing,joy
purple,4,5,4,3,2
purple,4,5,4,3,2
purple,4,5,4,3,2
purple,4,5,4,3,2
purple,4,5,4,3,2
purple,4,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,3,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,4,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,2
purple,3,5,3,2,1
purple,3,5,3,2,1
purple,3,5,3,2,1
purple,3,5,3,2,1
purple,3,5,3,2,1
purple,3,5,3,2,1
purple,3,5,3,2,1
purple,3,5,3,2,1
purple,3,5,3,2,1
purple,3,5,3,2,1
purple,3,5,3,2,1
purple,3,5,3,2,1
purple,2,5,3,2,1
purple,2,5,3,2,1
purple,2,5,3,2,1
purple,2,5,3,2,1
purple,2,5,3,1,1
purple,2,5,3,1,1
purple,2,5,3,1,1
purple,2,5,2,1,1
purple,2,5,2,1,1
purple,2,5,2,1,1
purple,2,5,2,1,1
purple,2,5,2,1,1
purple,2,5,2,1,1
purple,2,5,2,1,1
purple,2,5,2,1,1
purple,2,5,2,1,1
purple,2,5,2,1,1
purple,2,5,2,1,1
purple,2,5,2,1,1
purple,1,4,2,1,1
purple,1,4,2,1,1
purple,1,4,2,1,1
purple,1,4,2,1,1
purple,1,4,2,1,1
